SampleNumber,SampleName,library_ID,Accession,BioProject,filename,filename2
114175,M54058,M54058_A,SAMN12610146,PRJNA561158,114175.1.1.fastq.gz,114175.2.1.fastq.gz
114176,M54878,M54878_A,SAMN12610153,PRJNA561158,114176.1.1.fastq.gz,114176.2.1.fastq.gz
114177,M54309,M54309_A,SAMN12610150,PRJNA561158,114177.1.1.fastq.gz,114177.2.1.fastq.gz
114178,M53993,M53993_A,SAMN12610144,PRJNA561158,114178.1.1.fastq.gz,114178.2.1.fastq.gz
114179,M53952,M53952_A,SAMN12610142,PRJNA561158,114179.1.1.fastq.gz,114179.2.1.fastq.gz
114180,M54067,M54067_A,SAMN12610147,PRJNA561158,114180.1.1.fastq.gz,114180.2.1.fastq.gz
114181,M54041,M54041_A,SAMN12610145,PRJNA561158,114181.1.1.fastq.gz,114181.2.1.fastq.gz
114182,M54498,M54498_A,SAMN12610152,PRJNA561158,114182.1.1.fastq.gz,114182.2.1.fastq.gz
114183,M54308,M54308_A,SAMN12610149,PRJNA561158,114183.1.1.fastq.gz,114183.2.1.fastq.gz
114184,M54146,M54146_A,SAMN12610148,PRJNA561158,114184.1.1.fastq.gz,114184.2.1.fastq.gz
114185,M54368,M54368_A,SAMN12610151,PRJNA561158,114185.1.1.fastq.gz,114185.2.1.fastq.gz
114186,M53957,M53957_A,SAMN12610143,PRJNA561158,114186.1.1.fastq.gz,114186.2.1.fastq.gz
114187,M53896,M53896_A,SAMN12610141,PRJNA561158,114187.1.1.fastq.gz,114187.2.1.fastq.gz
114188,MH1033,MH1033_A,SAMN12610158,PRJNA561158,114188.1.1.fastq.gz,114188.2.1.fastq.gz
114189,MH2666,MH2666_A,SAMN12610197,PRJNA561158,114189.1.1.fastq.gz,114189.2.1.fastq.gz
114190,MH4301,MH4301_A,SAMN12610211,PRJNA561158,114190.1.1.fastq.gz,114190.2.1.fastq.gz
114191,MH3226,MH3226_A,SAMN12610202,PRJNA561158,114191.1.1.fastq.gz,114191.2.1.fastq.gz
114192,MH4523,MH4523_A,SAMN12610213,PRJNA561158,114192.1.1.fastq.gz,114192.2.1.fastq.gz
114193,MH4524,MH4524_A,SAMN12610214,PRJNA561158,114193.1.1.fastq.gz,114193.2.1.fastq.gz
114194,MH2672,MH2672_A,SAMN12610199,PRJNA561158,114194.1.1.fastq.gz,114194.2.1.fastq.gz
114195,MH3821,MH3821_A,SAMN12610205,PRJNA561158,114195.1.1.fastq.gz,114195.2.1.fastq.gz
114196,MH3066,MH3066_A,SAMN12610201,PRJNA561158,114196.1.1.fastq.gz,114196.2.1.fastq.gz
114197,MH4166,MH4166_A,SAMN12610207,PRJNA561158,114197.1.1.fastq.gz,114197.2.1.fastq.gz
114198,MH4247,MH4247_A,SAMN12610209,PRJNA561158,114198.1.1.fastq.gz,114198.2.1.fastq.gz
114199,MH3814,MH3814_A,SAMN12610204,PRJNA561158,114199.1.1.fastq.gz,114199.2.1.fastq.gz
114200,MH4201,MH4201_A,SAMN12610208,PRJNA561158,114200.1.1.fastq.gz,114200.2.1.fastq.gz
